1	America FC	8	11	0	29	17	12	35
2	Atlas	7	11	1	25	18	7	32
3	Atletico San Luis	3	7	9	9	17	-8	16
4	Chiapas	3	6	10	11	18	-7	15
5	Cruz Azul	1	6	12	8	20	-12	9
6	Guadalajara	7	9	3	20	16	4	30
7	Juarez	11	8	0	35	18	17	41
8	Leon	1	7	11	9	20	-11	10
9	Mazatlan	3	10	6	15	19	-4	19
10	Monterrey	4	8	7	18	22	-4	20
11	Necaxa	10	7	2	28	20	8	37
12	Pachuca	1	12	6	13	19	-6	15
13	Puebla	4	9	6	15	18	-3	21
14	Pumas	4	5	10	9	20	-11	17
15	Queretaro	3	9	7	14	20	-6	18
16	Santos	11	7	1	30	18	12	40
17	Tigres	8	11	0	28	18	10	35
18	Tijuana	6	8	5	24	21	3	26
19	Toluca	10	8	1	29	19	10	38
20	Veracruz	3	5	11	9	20	-11	14
