1	America	3	7	7	10	14	-4	16
2	Atlas	1	9	7	11	18	-7	12
3	Atletico San Luis	0	9	8	11	22	-11	9
4	Cruz Azul	13	2	2	29	13	16	41
5	Guadalajara	8	6	3	24	18	6	30
6	Juarez	1	9	7	9	17	-8	12
7	Leon	10	6	1	26	16	10	36
8	Mazatlan	3	6	8	8	14	-6	15
9	Monterrey	1	10	6	11	16	-5	13
10	Necaxa	3	7	7	12	17	-5	16
11	Pachuca	5	10	2	20	18	2	25
12	Puebla	10	7	0	26	13	13	37
13	Pumas	10	7	0	27	15	12	37
14	Queretaro	1	9	7	8	15	-7	12
15	Santos	10	7	0	27	15	12	37
16	Tigres	1	11	5	9	13	-4	14
17	Tijuana	1	9	7	11	19	-8	12
18	Toluca	2	9	6	13	19	-6	15
